NU_IDADE,TP_ESTADO_CIVIL,TP_COR_RACA,TP_SEXO,TP_LINGUA,CO_ESCOLA,NO_MUNICIPIO_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_ENEM,COMPUTADOR,INTERNET
17,Não dec,Parda,F,ESpanhol,27045552,Penedo,AL,343.9,539,470.1,466.4,340,431.88,"Sim, um",Sim
17,Soteiro(a),Parda,M,ESpanhol,27014053,Palmeira dos Indios,AL,391.2,504.2,460.3,666,600,524.34,"Sim, um",Sim
20,Soteiro(a),Preta,M,Inglês,27013880,Palmeira dos Indios,AL,522.4,359.9,331.5,432.5,320,393.26,Não,Não
17,Soteiro(a),Indigena,M,ESpanhol,27045234,Penedo,AL,502.9,569.2,546.9,547,600,553.2,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27045145,Penedo,AL,365.9,578,552.8,488.4,720,541.02,Não,Não
20,Soteiro(a),Amarela,F,ESpanhol,27215830,Palmeira dos Indios,AL,418.8,503.8,561.3,611.8,600,539.14,Não,Sim
17,Soteiro(a),Preta,M,ESpanhol,27042251,Coruripe,AL,415,360.9,502.8,536.7,600,483.08,Não,Não
17,Soteiro(a),Branca,M,ESpanhol,27014959,Palmeira dos Indios,AL,444.3,577.7,545.8,429.3,720,543.42,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27042251,Coruripe,AL,412.1,434.7,486.9,408.6,340,416.46,Não,Sim
17,Soteiro(a),Branca,M,Inglês,27050572,Coruripe,AL,536,476.6,523.1,663,700,579.74,Não,Sim
19,Soteiro(a),Parda,M,ESpanhol,27047830,Penedo,AL,496.1,530.7,573,608.6,600,561.68,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27215830,Palmeira dos Indios,AL,620.7,641.2,597.3,719.7,980,711.78,"Sim, um",Sim
17,Soteiro(a),Parda,M,ESpanhol,27220923,Palmeira dos Indios,AL,528.2,361.1,516.8,417.1,520,468.64,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27042251,Coruripe,AL,500.2,598.9,561.5,624.9,920,641.1,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27047830,Penedo,AL,573.9,624.7,581.4,665.4,920,673.08,"Sim, um",Sim
17,Soteiro(a),Branca,F,Inglês,27047830,Penedo,AL,523.5,559.5,563.8,641.7,640,585.7,"Sim, dois",Sim
17,Soteiro(a),Parda,F,Inglês,27215830,Palmeira dos Indios,AL,544.3,587.8,499.6,692.4,860,636.82,Não,Sim
17,Soteiro(a),Branca,M,Inglês,27220923,Palmeira dos Indios,AL,574,497.6,414.9,481.6,440,481.62,Não,Sim
17,Soteiro(a),Branca,M,ESpanhol,27042251,Coruripe,AL,439.4,394,374.2,567.3,520,458.98,"Sim, um",Sim
18,Soteiro(a),Parda,F,Inglês,27050572,Coruripe,AL,503.3,571.7,548.7,616.4,940,636.02,Não,Não
18,Soteiro(a),Branca,F,Inglês,27047830,Penedo,AL,587.5,556.6,572.1,622.8,600,587.8,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27045145,Penedo,AL,574.7,593.1,594.4,597.2,880,647.88,"Sim, um",Não
18,Soteiro(a),Parda,M,ESpanhol,27215830,Palmeira dos Indios,AL,505.8,486.6,572.2,594.5,600,551.82,Não,Sim
18,Soteiro(a),Não dec,F,ESpanhol,27014053,Palmeira dos Indios,AL,542.3,478.4,500,529.9,800,570.12,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27050572,Coruripe,AL,467.6,471,554.8,630.7,800,584.82,"Sim, um",Sim
18,Soteiro(a),Branca,F,ESpanhol,27215830,Palmeira dos Indios,AL,560.1,579.7,592.6,652.9,680,613.06,Não,Sim
19,Soteiro(a),Preta,M,Inglês,27014010,Palmeira dos Indios,AL,433.4,410.7,486.1,410.3,560,460.1,Não,Sim
19,Soteiro(a),Parda,M,ESpanhol,27215830,Palmeira dos Indios,AL,552.2,538.8,567.3,650.7,780,617.8,"Sim, um",Sim
17,Soteiro(a),Branca,M,Inglês,27013901,Palmeira dos Indios,AL,559.2,549.3,481.3,649.2,940,635.8,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27042251,Coruripe,AL,500.8,514.5,466.1,387.8,860,545.84,Não,Sim
16,Soteiro(a),Parda,F,Inglês,27226328,Coruripe,AL,478.2,518.1,549.9,461.5,580,517.54,"Sim, um",Sim
19,Soteiro(a),Parda,F,ESpanhol,27014010,Palmeira dos Indios,AL,454.7,446.5,509.1,419.6,660,497.98,Não,Sim
18,Soteiro(a),Parda,M,Inglês,27042251,Coruripe,AL,513.4,539.5,488.5,515.5,540,519.38,Não,Sim
17,Soteiro(a),Parda,F,Inglês,27226328,Coruripe,AL,377.1,482.7,523.4,390.6,520,458.76,Não,Sim
17,Soteiro(a),Branca,F,ESpanhol,27014029,Palmeira dos Indios,AL,398.1,379.6,491.4,477.3,560,461.28,Não,Sim
17,Não dec,Parda,F,ESpanhol,27045552,Penedo,AL,422.3,387.3,393,408.7,540,430.26,"Sim, um",Sim
20,Soteiro(a),Amarela,M,Inglês,27215830,Palmeira dos Indios,AL,506.2,539.7,553,602.2,560,552.22,"Sim, um",Sim
18,Soteiro(a),Parda,M,ESpanhol,27215830,Palmeira dos Indios,AL,613.3,589.9,551.1,545.2,860,631.9,Não,Não
19,Soteiro(a),Parda,F,ESpanhol,27047830,Penedo,AL,501.6,582.4,572.8,497.1,560,542.78,Não,Sim
18,Soteiro(a),Parda,M,ESpanhol,27215830,Palmeira dos Indios,AL,529.2,440.7,501.2,631.8,600,540.58,Não,Não
17,Soteiro(a),Parda,F,Inglês,27045234,Penedo,AL,496.8,469.2,540.2,499.8,480,497.2,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27215830,Palmeira dos Indios,AL,356.3,487.8,525.3,624.3,680,534.74,"Sim, um",Sim
